article,ean,name,category,dealer_price_eur,status
60.56.04.05,8715839039931,Ashuis links zwart,,,
56.06.92.00,8715839059496,Assembly Western Cover (for Large Trailer),,,
47.11.55.00,8715839057317,BERG 2015 Canvas + frame,,,
47.01.10.00,8715839023930,BERG 3in1 Go-Kart Display,,,
03.36.32.00,8715839028003,BERG Agravis 2011,,,
03.36.33.00,8715839041552,BERG Agravis 2013,,,
03.15.00.00,8715839020953,BERG Basic,,,
03.16.02.00,8715839048308,BERG Basic AF + Rear Lift,,,
03.11.52.00,8715839014389,BERG Basic AF Rood + Duostoel,,,
03.15.02.00,8715839020960,BERG Basic AF blauw,,,
03.15.82.00,8715839022551,BERG Basic AF zilver,,,
07.55.22.00,8715839063530,BERG Basic Red Theme (excl. XL Frame),,,UNDER_CON
03.11.50.00,8715839014785,BERG Basic Rood + Duostoel,,,
07.55.00.14,8715839051360,BERG Basic Theme (excl. XL Frame),,,ACTIVE
07.55.14.20,8715839061048,BERG Basic Theme (excl. XL Frame) CCC,,,
03.15.80.00,8715839022544,BERG Basic zilver,,,
